Team,Player,Event,X,Y
Thailand,Supachok,Shot Assist,5,73
Thailand,Bordin,Shot Off Target,4,56
Thailand,Pawee,Shot Assist,11,45
Thailand,Theerathon,Blocked Shot,18,46
Indonesia,Witan,Goal Assist,87,33
Indonesia,Kambuaya,Goal,81,36
Thailand,Chanathip,Shot Assist,33,11
Thailand,Teerasil,Shot On Target,12,34
Thailand,Teerasil,Blocked Shot,10,37
Thailand,Theerathon,Blocked Shot,21,51
Thailand,Theerathon,Shot Assist,0,99
Thailand,Teerasil,Blocked Shot,9,46
Thailand,Supachok,Shot Off Target,7,45
Thailand,Theerathon,Shot Assist,31,79
Thailand,Thanawat,Shot On Target,28,54
Thailand,Bordin,Shot Assist,13,75
Thailand,Thanawat,Blocked Shot,25,50
Indonesia,Dedik,Shot Assist,94,36
Indonesia,Witan,Blocked Shot,93,50
Indonesia,Dewangga,Blocked Shot,79,65
Thailand,Narubadin,Shot Assist,6,17
Thailand,Teerasil,Shot Off Target,13,50
Thailand,Supachok,Shot Assist,23,54
Thailand,Bordin,Shot On Target,11,65
Thailand,Adisak,Goal,9,46
Thailand,Supachok,Goal Assist,14,50
Thailand,Sarach,Goal,19,44
Indonesia,Arhan,Shot Assist,83,20
Indonesia,Dewangga,Shot Off Target,94,42
Indonesia,Sagara,Shot Off Target,87,54
Indonesia,Arhan,Shot Assist,78,4
Indonesia,Sagara,Shot Off Target,90,37
Thailand,Supachok,Shot Assist,28,44
Thailand,Bordin,Blocked Shot,7,70
Thailand,Chanathip,Blocked Shot,24,49
Thailand,Adisak,Shot Assist,2,25
Thailand,Chanathip,Blocked Shot,14,47
Thailand,Theerathon,Shot Off Target,21,33
Indonesia,Witan,Goal Assist,64,14
Indonesia,Egy,Goal,88,26
Thailand,Jenphob,Shot Assist,13,5
Thailand,Adisak,Shot Off Target,6,44
